RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
47.2299583	70.56325	UGC02542	55.1	9.22	105	4276	3		IRAS	0.01426320071	SB
48.75325	-30.7080278	IC1904	26	10.4	111	4577	3		Bar,IRAS,Vc	0.01526722864	SB
48.942375	-12.0243056	MCG-02-09-019	33.3	10.62	81	3161	2		IRAS	0.01054396105	SAB
49.095	-23.8101944	MCG-04-08-054	15.4	11.97	74	13231	2	1	Bar	0.04413386544	SAB
49.3333333	-33.69	IC1909	22.5	10.84	84	7595	3	1	Bar	0.02533419303	SB
51.0270417	-1.0577778	CGCG390-082	21.9	11.7	84	7567	3			0.02524079508	SB
51.2570417	-5.7458889	NGC1324	60.1	9.24	81	5687	3		IRAS	0.01896979009	SB
51.5747083	4.5410278	IC1918	17.3	11.5	62	9268	3	1		0.03091472034	SB
51.5921667	37.5359167	PGC89947	17.4	11.38	64	7945	2		Pec,IRAS	0.02650166736	SAB
51.7305417	-41.6868889	ESO301-015	19.7	11.34	60	15128	2	1		0.05046157632	SAB
51.93775	69.7491667	PGC89946	21.6	10.71	62	7080	3		IRAS	0.02361633794	SB
53.3814167	0.6991667	2MFGC02942	18.3	11.37	67	10948	3			0.03651859714	SB
54.456875	72.5713333	NGC1343	54.5	8.78	78	2214	2		Bar,VIIZw8,IRAS	0.007385109068	SAB
55.5480417	-29.8935	NGC1425	73.9	8.56	115	1511	3		IRAS	0.005040153478	SB
57.4379583	28.16675	CGCG507-001	29.4	11.09	171	5000	2			0.01667820476	SAB
60.1919167	17.5831389	UGC02922	26.3	11.04	145	5215	3		IRAS	0.01739536756	SB
60.764125	4.5444722	UGC02938	26.1	10.58	91	5515	2	1	Bar	0.01839605985	SAB
60.7998333	-14.2857778	MCG-02-11-011	15.3	11.98	76	9532	3	1	Ring,IRAS	0.03179532955	SB
