ra_deg	dec_deg	name	r_arcsec	ks_mag	"2s, Dimensionless ""separation"" between isolated galaxy and its nearest significant neighbour"	hrv_kms	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	comment	redshift	morph_type	poly_source	logSFR_sed	logSFR_w3	logSFR_w4	SimbadName	luminosity_class	yerkes_class	nuclear_class	mu0	diameter_b25_kpc	diameter_be_kpc	ring_diameter_kpc	abs_mag_b	color_bv	kbi	concentration_c31	luminosity_index	HI	mean_sb_be	MaNGA ID	Plate	IFU	logMstar	bt_r	logSFR_global	Distance (Mpc)	Inclination (°)	R₂₅ (kpc)	log R₂₅	M⋆ (10¹⁰ M☉)	V_rot (km/s)	log V_rot	12+log(O/H)₀	12+log(O/H)_R₂₅	Gradient (dex/R₂₅)	log M_BH (M☉)
41.778125	-2.9725833	2MFGC2225	31.3	10.86	120.0	7601.0	3.0			0.02535420688	SB	2mig																																			
42.0181667	27.1030833	UGC02272	42.4	10.0	65.0	5652.0	3.0		IRAS	0.01885304266	SB	2mig																																			
42.0673333	34.41975	NGC1093	26.9	10.48	104.0	5287.0	2.0		Bar,IRAS,Vc	0.01763553371	SAB	2mig																																			
42.2451667	3.1686389	UGC02295	36.8	9.94	77.0	4171.0	3.0	1.0	Pec,IRAS	0.01391295841	SB	2mig																																			
42.6624583	20.6828333	UGC02327	18.6	10.76	61.0	6305.0	3.0		Bar,pec,IRAS	0.0210312162	SB	2mig																																			
42.8255833	-28.2006389	ESO416-037	35.3	10.25	75.0	5156.0	2.0		HII,IRAS	0.01719856475	SAB	2mig																																			
42.97725	0.6648889	UGC02346	18.3	11.49	61.0	8774.0	3.0	1.0		0.02926691371	SB	2mig																																			
42.994625	-33.3397778	IC1862	47.3	10.12	75.0	6399.0	3.0		IRAS,Vc	0.02134476645	SB	2mig																																			
43.7785	-10.7535278	MCG-02-08-021	15.9	11.68	65.0	8794.0	3.0			0.02933362653	SB	2mig																																			
44.017375	-22.2528333	ESO546-032	23.7	10.92	68.0	8105.0	3.0	2.0		0.02703536992	SB	2mig																																			
44.5272917	-74.4566389	ESO031-005	41.2	10.03	93.0	4783.0	2.0		Bar,IRAS	0.01595437067	SAB	2mig																																			
45.4829167	51.1486111	PGC11438	25.5	10.32	68.0	4808.0	3.0	2.0		0.0160377617	SB	2mig																																			
45.7477917	-9.1320833	NGC1185	35.7	10.47	61.0	4854.0	3.0	1.0	Bar,ring,IRAS	0.01619120118	SB	2mig																																			
46.0850833	48.2701111	UGC02511	34.2	10.08	70.0	3826.0	2.0		Bar,IRAS	0.01276216228	SAB	2mig																																			
46.1488333	-13.9460833	PGC931092	15.3	11.95	60.0	4843.0	3.0			0.01615450913	SB	2mig																																			
46.4187083	33.3939444	UGC02525	21.7	11.44	73.0	6229.0	3.0			0.02077770749	SB	2mig																																			
46.4305833	36.7861389	UGC02526	36.7	9.47	80.0	4965.0	3.0		IRAS	0.01656145733	SB	2mig																																			
47.2299583	70.56325	UGC02542	55.1	9.22	105.0	4276.0	3.0		IRAS	0.01426320071	SB	2mig																																			
48.75325	-30.7080278	IC1904	26.0	10.4	111.0	4577.0	3.0		Bar,IRAS,Vc	0.01526722864	SB	2mig																																			
48.942375	-12.0243056	MCG-02-09-019	33.3	10.62	81.0	3161.0	2.0		IRAS	0.01054396105	SAB	2mig																																			
49.095	-23.8101944	MCG-04-08-054	15.4	11.97	74.0	13231.0	2.0	1.0	Bar	0.04413386544	SAB	2mig																																			
49.3333333	-33.69	IC1909	22.5	10.84	84.0	7595.0	3.0	1.0	Bar	0.02533419303	SB	2mig																																			
51.0270417	-1.0577778	CGCG390-082	21.9	11.7	84.0	7567.0	3.0			0.02524079508	SB	2mig																																			
51.2570417	-5.7458889	NGC1324	60.1	9.24	81.0	5687.0	3.0		IRAS	0.01896979009	SB	2mig																																			
51.5747083	4.5410278	IC1918	17.3	11.5	62.0	9268.0	3.0	1.0		0.03091472034	SB	2mig																																			
51.5921667	37.5359167	PGC89947	17.4	11.38	64.0	7945.0	2.0		Pec,IRAS	0.02650166736	SAB	2mig																																			
51.7305417	-41.6868889	ESO301-015	19.7	11.34	60.0	15128.0	2.0	1.0		0.05046157632	SAB	2mig																																			
51.93775	69.7491667	PGC89946	21.6	10.71	62.0	7080.0	3.0		IRAS	0.02361633794	SB	2mig																																			
53.3814167	0.6991667	2MFGC02942	18.3	11.37	67.0	10948.0	3.0			0.03651859714	SB	2mig																																			
54.456875	72.5713333	NGC1343	54.5	8.78	78.0	2214.0	2.0		Bar,VIIZw8,IRAS	0.007385109068	SAB	2mig																																			
55.5480417	-29.8935	NGC1425	73.9	8.56	115.0	1511.0	3.0		IRAS	0.005040153478	SB	2mig																																			
57.4379583	28.16675	CGCG507-001	29.4	11.09	171.0	5000.0	2.0			0.01667820476	SAB	2mig																																			
60.1919167	17.5831389	UGC02922	26.3	11.04	145.0	5215.0	3.0		IRAS	0.01739536756	SB	2mig																																			
60.764125	4.5444722	UGC02938	26.1	10.58	91.0	5515.0	2.0	1.0	Bar	0.01839605985	SAB	2mig																																			
60.7998333	-14.2857778	MCG-02-11-011	15.3	11.98	76.0	9532.0	3.0	1.0	Ring,IRAS	0.03179532955	SB	2mig																																			
60.9692917	24.3972778	CGCG487-017	21.0	10.32	75.0	6031.0	2.0	1.0	Pec	0.02011725058	SAB	2mig																																			
61.0361667	-82.3416667	ESO015-006	33.5	10.74	68.0	4896.0	3.0	1.0		0.0163312981	SB	2mig																																			
61.403875	11.3018889	PGC14450	16.2	11.58	65.0	3237.0	3.0		IRAS	0.01079746976	SB	2mig																																			
61.683625	-13.4873611	2MFGC3362	15.9	11.87	69.0	8684.0	3.0		HII,IRAS	0.02896670603	SB	2mig																																			
62.1509583	-10.1892778	MCG-02-11-019	16.3	11.5	63.0	9852.0	2.0			0.03286273466	SAB	2mig																																			
62.33525	-20.2184722	ESO550-013	15.9	11.89	60.0	9080.0	3.0	1.0		0.03028761984	SB	2mig																																			
63.0944583	5.5469722	UGC02982	29.9	9.91	85.0	5312.0	2.0		Bar,ring,KIG143,IRAS	0.01771892474	SAB	2mig																																			
63.4115833	25.4829167	UGC02988	51.8	9.62	62.0	3820.0	3.0		KIG144,IRAS	0.01274214844	SB	2mig																																			
63.5027083	36.8476389	UGC02991	44.3	9.97	64.0	6004.0	3.0		Bar,ring,IRAS,Vc	0.02002718828	SB	2mig																																			
64.3017083	-17.8574167	NGC1547	30.0	10.59	107.0	9575.0	3.0	1.0	Bar,IRAS,Vc	0.03193876212	SB	2mig																																			
64.309125	4.7815833	NGC1542	29.1	10.37	62.0	3754.0	2.0		KIG145,IRAS	0.01252199613	SAB	2mig																																			
65.2509583	-0.1680278	UGC03018	17.8	11.21	66.0	13562.0	3.0			0.04523796259	SB	2mig																																			
65.6388333	3.2025833	CGCG419-004	19.0	10.78	64.0	3878.0	3.0			0.01293561561	SB	2mig																																			
66.145875	33.8750833	UGC03028	38.5	9.67	102.0	5476.0	3.0		Ring,IRAS	0.01826596985	SB	2mig																																			
66.45175	-67.8148333	ESO055-023	40.2	10.07	111.0	5514.0	3.0			0.01839272421	SB	2mig																																			
66.5905	-20.7178611	ESO551-002	15.1	11.64	65.0	8733.0	2.0	2.0	IRAS	0.02913015243	SAB	2mig																																			
66.6380833	-32.1646389	PGC133204	18.5	11.38	65.0	10441.0	2.0	1.0		0.03482742718	SAB	2mig																																			
